epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.079,1.67161,2.7602,1.41455,0.00223,0.67,0.55511,0.31769,1.19868,4.57665,0.95474,0.00048,0.00048,0.00048
2,232.779,1.19023,1.67187,1.21442,1,0.2012,0.36104,0.27665,1.20525,4.67577,1.06116,0.000960596,0.000960596,0.000960596
3,344.271,1.14238,1.43552,1.20054,0.91485,0.53723,0.54059,0.37544,1.46797,3.4855,1.12734,0.00142139,0.00142139,0.00142139
4,453.023,1.17287,1.3485,1.21371,0.9479,0.53,0.56132,0.39461,1.36313,3.23453,1.11993,0.00186239,0.00186239,0.00186239
5,561.674,1.12851,1.23295,1.1869,0.9278,0.64251,0.69994,0.45713,1.30292,3.08684,1.22102,0.0018416,0.0018416,0.0018416
6,671.301,1.11855,1.1552,1.19169,0.93697,0.59467,0.66302,0.47566,1.2845,2.20788,1.10776,0.001802,0.001802,0.001802
7,782.642,1.08131,1.00104,1.17075,0.98172,0.53717,0.56332,0.40168,1.24405,2.36412,1.08005,0.0017624,0.0017624,0.0017624
8,904.73,1.07297,0.9711,1.17914,0.35404,0.54,0.3659,0.26979,1.35638,5.25861,1.15581,0.0017228,0.0017228,0.0017228
9,1015.3,1.07723,0.86509,1.15704,0.99392,0.51,0.51928,0.37087,1.28552,5.1802,1.03439,0.0016832,0.0016832,0.0016832
10,1122.43,1.00464,0.79348,1.13552,0.97541,0.71,0.81382,0.56821,1.12665,1.28891,0.98903,0.0016436,0.0016436,0.0016436
11,1228.52,0.94568,0.74856,1.09486,0.95661,0.76,0.8214,0.54012,1.18025,1.33212,1.05676,0.001604,0.001604,0.001604
12,1339.6,0.91204,0.73617,1.12499,0.9258,0.62385,0.66396,0.49342,1.11019,1.64202,1.06889,0.0015644,0.0015644,0.0015644
13,1448.3,0.92234,0.69771,1.12151,0.88826,0.71548,0.73908,0.54681,1.07637,1.24738,1.02003,0.0015248,0.0015248,0.0015248
14,1557.56,0.901,0.65859,1.07107,0.90593,0.77047,0.81676,0.59625,1.02554,0.92369,0.99909,0.0014852,0.0014852,0.0014852
15,1664.48,0.92168,0.63234,1.10358,0.94678,0.71158,0.78497,0.58037,1.0686,1.04677,0.99322,0.0014456,0.0014456,0.0014456
16,1774.5,0.91122,0.64624,1.10268,0.89277,0.69,0.72402,0.55201,1.07148,1.06497,0.95982,0.001406,0.001406,0.001406
17,1880.65,0.82918,0.58988,1.05956,0.961,0.71,0.78152,0.58162,1.03084,0.93407,0.98898,0.0013664,0.0013664,0.0013664
18,1989.38,0.85952,0.60121,1.06233,0.92194,0.81,0.89373,0.64483,0.98387,0.77777,0.95027,0.0013268,0.0013268,0.0013268
19,2097.44,0.80722,0.56608,1.05164,0.84118,0.84748,0.89985,0.63286,0.94825,0.70527,0.94902,0.0012872,0.0012872,0.0012872
20,2203.91,0.84745,0.58122,1.094,0.97511,0.78352,0.87844,0.64318,0.93232,0.71485,0.95253,0.0012476,0.0012476,0.0012476
21,2311.75,0.7975,0.5386,1.04827,0.91807,0.89643,0.90555,0.68069,0.8833,0.71596,0.93141,0.001208,0.001208,0.001208
22,2419.71,0.80656,0.55745,1.05132,0.92486,0.73858,0.83098,0.59494,0.99867,0.85921,0.9335,0.0011684,0.0011684,0.0011684
23,2526.54,0.82938,0.55298,1.06643,0.99651,0.78,0.88122,0.64758,0.95756,0.73233,0.91873,0.0011288,0.0011288,0.0011288
24,2631.19,0.79238,0.52073,1.03384,0.97516,0.9,0.93713,0.71109,0.83219,0.6174,0.90696,0.0010892,0.0010892,0.0010892
25,2737.24,0.76473,0.50887,1.03922,0.96156,0.81,0.91356,0.69618,0.89673,0.6849,0.92056,0.0010496,0.0010496,0.0010496
26,2847.52,0.78919,0.51931,1.04134,0.92831,0.90649,0.92104,0.69722,0.85211,0.60904,0.93025,0.00101,0.00101,0.00101
27,2955.85,0.76746,0.53069,1.04453,0.91851,0.789,0.88499,0.6749,0.87077,0.73616,0.91028,0.0009704,0.0009704,0.0009704
28,3064.7,0.71555,0.47246,1.02281,0.97823,0.8986,0.93689,0.68589,0.85796,0.61444,0.91617,0.0009308,0.0009308,0.0009308
29,3170.65,0.70708,0.47879,1.00918,0.98889,0.8902,0.92312,0.69861,0.85932,0.5984,0.90829,0.0008912,0.0008912,0.0008912
30,3277.07,0.7267,0.48042,1.01836,0.95657,0.86,0.92189,0.66999,0.81874,0.6072,0.88252,0.0008516,0.0008516,0.0008516
31,3383.55,0.77556,0.49036,1.0391,0.96578,0.9,0.93798,0.63377,0.87454,0.64202,0.89222,0.000812,0.000812,0.000812
32,3490.83,0.70902,0.48922,1.00956,0.97716,0.85569,0.91187,0.68247,0.83999,0.64842,0.88488,0.0007724,0.0007724,0.0007724
33,3598.49,0.68819,0.45548,0.99773,0.97848,0.90931,0.94719,0.71546,0.8114,0.55155,0.87738,0.0007328,0.0007328,0.0007328
34,3707.64,0.67565,0.44908,1.00148,0.95714,0.92,0.95717,0.71455,0.87794,0.5285,0.8986,0.0006932,0.0006932,0.0006932
35,3814.81,0.65725,0.43875,0.99237,0.95873,0.92917,0.96161,0.72689,0.79172,0.496,0.88021,0.0006536,0.0006536,0.0006536
36,3922.02,0.66415,0.42919,1.00566,0.9568,0.89,0.93533,0.67017,0.93356,0.58039,0.92375,0.000614,0.000614,0.000614
37,4027.52,0.66296,0.43323,1.00243,0.98647,0.91,0.96225,0.72291,0.86407,0.53782,0.922,0.0005744,0.0005744,0.0005744
38,4133.86,0.63955,0.42105,1.00192,0.97868,0.91807,0.97163,0.72688,0.82428,0.50506,0.89401,0.0005348,0.0005348,0.0005348
39,4239.66,0.68629,0.45872,1.0029,0.9871,0.92,0.97115,0.767,0.74708,0.50559,0.87815,0.0004952,0.0004952,0.0004952
40,4346.95,0.62121,0.42734,0.99141,0.98932,0.92671,0.96994,0.76528,0.71658,0.48315,0.87209,0.0004556,0.0004556,0.0004556
41,4454.34,0.48763,0.33168,0.88719,0.98901,0.89982,0.95832,0.74822,0.77082,0.4821,0.8841,0.000416,0.000416,0.000416
42,4565.77,0.4893,0.32162,0.8923,0.98169,0.92,0.96714,0.74744,0.73675,0.45138,0.86845,0.0003764,0.0003764,0.0003764
43,4674.95,0.5016,0.31498,0.89538,0.99184,0.9,0.97199,0.73291,0.74934,0.44011,0.86856,0.0003368,0.0003368,0.0003368
44,4782.02,0.48231,0.30742,0.89321,0.96018,0.96462,0.98793,0.77625,0.68764,0.40813,0.86958,0.0002972,0.0002972,0.0002972
45,4889.04,0.45708,0.29603,0.88639,0.95816,0.97,0.98612,0.77592,0.67175,0.41592,0.87168,0.0002576,0.0002576,0.0002576
46,4996.14,0.45095,0.29163,0.88139,0.97948,0.95474,0.98585,0.74908,0.73932,0.42577,0.88135,0.000218,0.000218,0.000218
47,5100.76,0.4552,0.28833,0.87227,0.97812,0.96,0.98513,0.76866,0.66325,0.42449,0.86012,0.0001784,0.0001784,0.0001784
48,5212.89,0.42244,0.27905,0.87109,0.99655,0.93,0.98427,0.78042,0.64765,0.41151,0.85687,0.0001388,0.0001388,0.0001388
49,5325.62,0.42471,0.27043,0.8775,0.98928,0.92299,0.98327,0.78008,0.62676,0.40152,0.85092,9.92e-05,9.92e-05,9.92e-05
50,5440.34,0.42008,0.27068,0.88084,0.96192,0.95,0.98332,0.78328,0.63033,0.40009,0.85142,5.96e-05,5.96e-05,5.96e-05
